,RT_l10,sd_RT,FC_l10,sd_FC,FC,RT,followers_count,friends_count,listed_count,favourites_count,statuses_count,protected,geo_enabled,verified,contributors_enabled,is_translator,is_translation_enabled,profile_background_tile,profile_use_background_image,has_extended_profile,default_profile,default_profile_image
966,2.6,4.737087712930804,3.7,5.177837386399848,1.0,1.0,4677.0,4854.0,3.0,16490.0,21589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
967,0.3,0.458257569495584,0.2,0.4000000000000001,0.0,0.0,95481.0,56953.0,303.0,3685.0,1167769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968,20.6,25.184121981915514,18.4,20.80480713681336,3.0,3.0,5065.0,3699.0,24.0,16128.0,25689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
969,0.1,0.30000000000000004,0.9,1.044030650891055,0.0,0.0,222.0,137.0,2.0,176.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
970,5.4,4.054626986542659,15.5,19.749683541768466,11.0,5.0,714.0,791.0,10.0,76.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
971,0.8,1.7776388834631178,8.6,21.882413029645523,6.0,0.0,46.0,51.0,2.0,31.0,1083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
972,0.5,0.6708203932499369,0.7,0.8999999999999999,1.0,1.0,2198.0,674.0,35.0,17886.0,5604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
973,3.7,6.527633568147036,12.6,20.313542280951395,0.0,1.0,1841.0,516.0,25.0,42311.0,23537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
974,0.8,1.4696938456699071,0.1,0.30000000000000004,0.0,0.0,692.0,405.0,0.0,4154.0,10903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
975,1.3,1.4866068747318506,4.8,3.4583232931581174,1.0,1.0,614.0,467.0,17.0,2745.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
976,0.0,0.0,0.0,0.0,0.0,0.0,199.0,202.0,2.0,44.0,7852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
977,0.3,0.6403124237432849,0.3,0.6403124237432849,0.0,0.0,89846.0,65473.0,550.0,5390.0,1416669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
978,0.3,0.6403124237432848,0.9,1.4456832294800959,0.0,0.0,904.0,826.0,17.0,1086.0,6524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
979,0.3,0.6403124237432849,1.9,1.3747727084867525,6.0,0.0,747.0,549.0,21.0,23783.0,30476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
980,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,123374.0,84024.0,859.0,3195.0,1419010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
981,0.0,0.0,0.3,0.458257569495584,0.0,0.0,305.0,182.0,12.0,11221.0,47983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
982,1.9,1.9209372712298547,3.6,3.292415526630866,3.0,3.0,1232.0,695.0,51.0,3154.0,22054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
983,0.0,0.0,0.5,0.9219544457292888,0.0,0.0,128603.0,76533.0,728.0,4503.0,1401377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
984,0.2,0.4000000000000001,0.3,0.4582575694955841,0.0,0.0,394.0,378.0,5.0,6633.0,13543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985,0.4,0.4898979485566357,1.2,1.2489995996796797,0.0,0.0,29.0,69.0,0.0,1103.0,3161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
986,0.0,0.0,0.4,0.4898979485566357,3.0,1.0,543.0,607.0,23.0,31865.0,41844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
987,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,59439.0,58755.0,485.0,4586.0,1233354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
988,0.1,0.30000000000000004,0.4,0.4898979485566357,1.0,0.0,22.0,57.0,0.0,467.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
989,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,230.0,271.0,1.0,332.0,3556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990,0.1,0.30000000000000004,0.3,0.458257569495584,0.0,0.0,88673.0,72855.0,725.0,5515.0,1313903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
991,0.3,0.458257569495584,0.3,0.458257569495584,0.0,0.0,3229.0,3173.0,94.0,48295.0,96975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
992,0.7,1.791647286716891,2.1,3.590264614203248,6.0,0.0,273.0,347.0,4.0,21915.0,13337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
993,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,93.0,223.0,0.0,2600.0,3341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
994,0.0,0.0,0.0,0.0,0.0,0.0,2768.0,2693.0,54.0,6896.0,122455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
995,0.8,1.077032961426901,2.5,2.29128784747792,1.0,0.0,163.0,144.0,1.0,3802.0,2786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,1.0,1.095445115010332,0.4,0.6633249580710799,1.0,1.0,400.0,504.0,0.0,7424.0,11340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
997,0.3,0.6403124237432848,1.0,0.8944271909999159,2.0,0.0,343.0,621.0,4.0,3235.0,7067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
998,3.3,9.241753080449618,2.7,2.4515301344262523,0.0,0.0,335.0,264.0,1.0,24166.0,16978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
999,0.0,0.0,0.9,1.3747727084867518,2.0,0.0,720.0,327.0,5.0,13452.0,23691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,1.0,0.8944271909999159,2.2,2.039607805437114,0.0,1.0,303.0,463.0,3.0,8208.0,7382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001,0.1,0.30000000000000004,1.7,1.5524174696260022,0.0,0.0,537.0,717.0,3.0,2245.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,0.3,0.458257569495584,3.0,2.6457513110645907,1.0,1.0,231.0,214.0,1.0,6625.0,5896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,2.2,5.9464274989274015,4.3,9.644169222903548,2.0,0.0,116.0,101.0,6.0,1311.0,6808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004,0.1,0.30000000000000004,0.8,0.9797958971132712,1.0,0.0,218.0,445.0,6.0,7161.0,3089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005,0.2,0.6000000000000001,2.3,1.3453624047073711,0.0,0.0,322.0,169.0,5.0,42038.0,23310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006,0.1,0.30000000000000004,1.1,0.5385164807134505,0.0,0.0,10.0,58.0,0.0,2027.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,0.1,0.30000000000000004,1.1,0.5385164807134505,0.0,0.0,50.0,154.0,0.0,16218.0,3755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1008,13.8,8.059776671843954,4.8,3.3105890714493698,0.0,0.0,842.0,2088.0,4.0,8550.0,27804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,0.3,0.4582575694955841,0.8,0.9797958971132712,1.0,2.0,86.0,97.0,0.0,2347.0,2186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010,1.4,2.65329983228432,3.3,4.796873982084582,1.0,0.0,310.0,310.0,2.0,2665.0,3956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011,0.5,0.5,1.1,1.2206555615733703,0.0,0.0,50.0,96.0,0.0,1398.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1012,9.1,20.072119967756272,12.6,23.593219364893805,46.0,7.0,18796.0,18303.0,88.0,14529.0,41711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,0.6,0.7999999999999999,1.6,1.5620499351813308,2.0,1.0,247.0,327.0,2.0,14038.0,8570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014,0.0,0.0,0.0,0.0,0.0,1.0,1740.0,179.0,36.0,7.0,76933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015,0.0,0.0,0.1,0.30000000000000004,1.0,0.0,50.0,87.0,0.0,17689.0,6799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1016,0.0,0.0,0.5,0.5,2.0,1.0,65.0,322.0,0.0,10195.0,3077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1017,1.5,4.5,11.4,32.53982175734833,0.0,0.0,18.0,45.0,0.0,53.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
