,RT_l10,sd_RT,FC_l10,sd_FC,id,followers_count,friends_count,listed_count,favourites_count,statuses_count,class_fc,class_rt
1352,0.6,0.916515138991168,1.3,2.282542442102666,1183990670.0,817.0,433.0,3.0,4091.0,17516.0,0.0,0.0
1353,1.2,3.2802438933713454,1.3,2.9681644159311658,1187404454.0,188.0,130.0,0.0,100.0,291.0,0.0,0.0
1354,0.0,0.0,0.7,0.9,1190209682.0,397.0,594.0,1.0,2872.0,4001.0,0.0,0.0
1355,0.2,0.4000000000000001,1.2,1.4,1190511865.0,409.0,556.0,1.0,30365.0,15547.0,0.0,0.0
1356,7.2,6.584831053261732,12.9,10.921996154549772,1193091738.0,19210.0,1057.0,325.0,444.0,16105.0,1.0,1.0
1357,0.3,0.6403124237432849,3.9,4.968903299521939,1197954685.0,1131.0,378.0,36.0,40869.0,68311.0,0.0,0.0
1358,0.1,0.30000000000000004,0.9,0.7,1201564704.0,8684.0,292.0,165.0,30262.0,34938.0,0.0,0.0
1359,1.6,3.0397368307141326,8.5,15.061540425866141,1205397439.0,680.0,1906.0,2.0,801.0,1881.0,0.0,0.0
1360,0.0,0.0,0.3,0.4582575694955841,1223070451.0,20.0,69.0,0.0,2490.0,2693.0,0.0,0.0
1361,2.2,2.9257477676655586,8.1,8.98276126811795,1233791833.0,1791.0,1682.0,87.0,10488.0,17011.0,0.0,0.0
1362,0.1,0.30000000000000004,1.2,1.4696938456699071,1238825318.0,3622.0,2250.0,24.0,2238.0,7057.0,0.0,0.0
1363,0.0,0.0,0.0,0.0,1238887712.0,1465.0,1636.0,29.0,702.0,5470.0,0.0,0.0
1364,1.5,1.857417562100671,2.8,4.019950248448357,1239434629.0,1041.0,760.0,11.0,23786.0,45715.0,0.0,0.0
1365,1.7,2.282542442102665,1.3,2.1,1241829462.0,7536.0,7632.0,44.0,449.0,26056.0,0.0,0.0
1366,0.0,0.0,0.5,0.6708203932499369,1248277081.0,79.0,304.0,0.0,87.0,2497.0,0.0,0.0
1367,0.9,1.8138357147217052,11.9,17.626400653565096,1251271308.0,590.0,513.0,2.0,3196.0,1901.0,0.0,0.0
1368,0.8,1.6,2.2,2.4819347291981715,1251399222.0,362.0,348.0,1.0,2333.0,2937.0,0.0,0.0
1369,0.1,0.30000000000000004,0.2,0.4000000000000001,1252573650.0,110.0,211.0,0.0,36.0,1013.0,0.0,0.0
1370,0.7,1.0049875621120892,1.6,1.1135528725660044,1254301154.0,879.0,743.0,113.0,39022.0,41325.0,0.0,0.0
1371,0.2,0.4,0.6,0.7999999999999999,1254320018.0,1692.0,1286.0,20.0,49193.0,95933.0,0.0,0.0
1372,1.8,2.3151673805580453,5.4,4.103656905736639,1257695372.0,463.0,399.0,1.0,11743.0,6104.0,0.0,0.0
1373,0.0,0.0,0.2,0.6000000000000001,1259063917.0,137.0,325.0,1.0,3273.0,4098.0,0.0,0.0
1374,0.2,0.4000000000000001,2.3,1.9,1259607084.0,638.0,503.0,1.0,17904.0,8855.0,0.0,0.0
1375,2.9,2.7367864366808017,2.8,2.6758176320519307,1262098598.0,359.0,797.0,12.0,3869.0,4794.0,0.0,0.0
1376,0.7,0.4582575694955841,1.4,1.4966629547095764,1264361426.0,8844.0,3116.0,478.0,28594.0,23631.0,0.0,0.0
1377,2.7,4.960846701924986,9.6,16.063623501564027,1264753393.0,5065.0,245.0,39.0,58441.0,112647.0,0.0,0.0
1378,10.0,12.798437404620927,44.7,58.70953925896541,1267118816.0,50444.0,23209.0,871.0,107736.0,111120.0,0.0,0.0
1379,0.0,0.0,0.1,0.30000000000000004,1267787288.0,507193.0,58049.0,1345.0,3807.0,1155352.0,0.0,0.0
1380,1.5,1.6278820596099706,8.9,6.7149087856798175,1268161992.0,182.0,226.0,3.0,2996.0,2445.0,0.0,0.0
1381,1.1,1.3747727084867518,1.6,1.562049935181331,1283871410.0,17627.0,1020.0,169.0,41346.0,42075.0,0.0,0.0
1382,5.3,14.913416778190037,55.0,156.0403793894388,1289177264.0,11020.0,1518.0,182.0,96018.0,181508.0,1.0,0.0
1383,0.0,0.0,0.7,0.4582575694955841,1289354346.0,1126.0,3172.0,19.0,39666.0,95508.0,0.0,0.0
1384,0.4,0.916515138991168,0.9,2.0712315177207983,1296183576.0,946.0,1804.0,6.0,29324.0,14444.0,0.0,0.0
1385,0.0,0.0,0.3,0.458257569495584,1297024818.0,1441.0,574.0,20.0,38870.0,89830.0,0.0,0.0
1386,0.7,1.0049875621120892,10.0,13.733171520082314,1310223536.0,892.0,1229.0,11.0,25588.0,4780.0,0.0,0.0
1387,0.7,1.4866068747318506,3.1,5.990826320300063,1319312534.0,1967.0,823.0,63.0,146476.0,120349.0,0.0,0.0
1388,0.7,1.1874342087037917,1.6,1.2,1331151294.0,89.0,334.0,2.0,13623.0,5632.0,0.0,0.0
1389,0.4,0.6633249580710799,1.8,3.124099870362661,1336779002.0,517.0,297.0,2.0,18702.0,41155.0,0.0,0.0
1390,1.3,1.1,4.3,2.0024984394500787,1342090916.0,6939.0,1981.0,396.0,11167.0,11839.0,0.0,0.0
1391,0.3,0.6403124237432849,0.2,0.4,1344641016.0,13462.0,11390.0,249.0,823.0,163089.0,0.0,0.0
1392,3.2,4.237924020083418,6.4,3.8,1345313071.0,4312.0,1216.0,99.0,2211.0,5294.0,1.0,2.0
1393,0.3,0.6403124237432848,1.0,1.0,1349308538.0,577.0,586.0,5.0,8677.0,22113.0,0.0,0.0
1394,0.8,1.4,3.7,4.243819034784589,1352370008.0,36.0,62.0,0.0,2035.0,2672.0,0.0,0.0
1395,0.3,0.458257569495584,2.0,2.1447610589527217,1356392232.0,178.0,152.0,1.0,5779.0,3296.0,0.0,0.0
1396,0.1,0.30000000000000004,2.3,1.417744687875783,1356591704.0,80767.0,1406.0,19.0,2732.0,5876.0,0.0,0.0
1397,0.2,0.4000000000000001,3.7,3.716180835212409,1358860356.0,4080.0,3379.0,12.0,27884.0,47464.0,0.0,0.0
1398,0.3,0.4582575694955841,0.0,0.0,1359933181.0,5443.0,25.0,162.0,0.0,99162.0,0.0,0.0
1399,0.0,0.0,0.0,0.0,1361954390.0,37496.0,1483.0,47.0,10.0,6008.0,0.0,0.0
